Index | Similarity
------------------
    0 | 1.00000
    1 | 1.00000
    2 | 1.00000
    3 | 1.00000
    4 | 1.00000
    5 | 1.00000
    6 | 1.00000
    7 | 1.00000
    8 | 1.00000
    9 | 1.00000
   10 | 1.00000
   11 | 1.00000
   12 | 1.00000
   13 | 1.00000
   14 | 1.00000
   15 | 1.00000
   16 | 1.00000
   17 | 1.00000
   18 | 1.00000
   19 | 1.00000
   20 | 0.98185
   21 | 0.99098
   22 | 0.99433
   23 | 0.99164
   24 | 0.99894
   25 | 0.99507
   26 | 0.99967
   27 | 0.99904
   28 | 0.99996
   29 | 0.99999
   30 | 0.99998
   31 | 0.99988
   32 | 0.99989
   33 | 0.99995
   34 | 0.99999
   35 | 0.99996
   36 | 0.99982
   37 | 0.99996
   38 | 0.99953
   39 | 1.00000
   40 | 0.99995
   41 | 0.99985
   42 | 0.99979
   43 | 0.99973
   44 | 0.99997
   45 | 0.99985
   46 | 0.99975
   47 | 0.99994
   48 | 0.99898
   49 | 0.99999
   50 | 0.99923
   51 | 0.99999
   52 | 0.99989
   53 | 0.99965
   54 | 0.99981
   55 | 0.99962
   56 | 0.99976
   57 | 0.99977
   58 | 0.99939
   59 | 0.99999
   60 | 0.99961
   61 | 0.99979
   62 | 0.99863
   63 | 0.99999
   64 | 0.99998
   65 | 0.99965
   66 | 0.99923
   67 | 0.99870
   68 | 0.99979
   69 | 0.99998
   70 | 0.99927
   71 | 0.99960
   72 | 0.99995
   73 | 0.99774
   74 | 0.99999
   75 | 0.99985
   76 | 0.99968
   77 | 0.99907
   78 | 0.99980
   79 | 0.99999
   80 | 0.99998
   81 | 0.99981
   82 | 0.85128
   83 | 1.00000
   84 | 1.00000
   85 | 1.00000
   86 | 1.00000
   87 | 1.00000
   88 | 1.00000
   89 | 1.00000
   90 | 1.00000
   91 | 1.00000
   92 | 1.00000
   93 | 1.00000
   94 | 1.00000
   95 | 1.00000
   96 | 1.00000
   97 | 1.00000
   98 | 1.00000
   99 | 1.00000
  100 | 1.00000
  101 | 1.00000
  102 | -0.05103
  103 | 0.99991
  104 | 0.99986
  105 | 0.99983
  106 | 0.99954
  107 | 0.99974
  108 | 0.99981
  109 | 0.99946
  110 | 0.99931
  111 | 0.99924
